quarter_id,quarter_timestamp,global_winner_id,global_state,BASS_candidate_N,BASS_id,BASS_timestamp,BASS_state,BASS_offset_ms,BASS_old_role,BASS_tie_ids,DRUM_candidate_N,DRUM_id,DRUM_timestamp,DRUM_state,DRUM_offset_ms,DRUM_old_role,DRUM_tie_ids,status,distinct_candidate_combination_exists,BASS_DRUM_PAIR,DRUM_MINUS_BASS_MS
0,0.06965986394557823,NONE,EMPTY,0,,,,,,[],0,,,,,,[],NEITHER,False,UNRESOLVED,
1,0.44117913832199546,NONE,EMPTY,0,,,,,,[],0,,,,,,[],NEITHER,False,UNRESOLVED,
2,0.8126984126984127,F_MIX_00001,SELECTED,1,F_MIX_00000,0.7198185941043084,BASS_AND_DRUM_SUPPORTED,-92.8798185941043000,CONTEXT,[],2,F_MIX_00001,0.8359183673469388,DRUM_SUPPORTED,23.2199546485261000,PRIMARY,[],DISTINCT_PAIR,True,RESOLVED_OBSERVABLE,116.0997732426304000
3,1.18421768707483,F_MIX_00003,SELECTED,0,,,,,,[],1,F_MIX_00003,1.230657596371882,DRUM_SUPPORTED,46.439909297052000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
4,1.555736961451247,F_MIX_00005,SELECTED,1,F_MIX_00005,1.5789569160997732,BASS_AND_DRUM_SUPPORTED,23.2199546485262000,PRIMARY,[],1,F_MIX_00005,1.5789569160997732,BASS_AND_DRUM_SUPPORTED,23.2199546485262000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
5,1.9272562358276644,F_MIX_00008,SELECTED,0,,,,,,[],1,F_MIX_00008,1.9736961451247166,DRUM_SUPPORTED,46.4399092970522000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
6,2.3219954648526078,F_MIX_00010,SELECTED,1,F_MIX_00010,2.3219954648526078,BASS_AND_DRUM_SUPPORTED,0E-16,PRIMARY,[],2,F_MIX_00010,2.3219954648526078,BASS_AND_DRUM_SUPPORTED,0E-16,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
7,2.670294784580499,F_MIX_00012,SELECTED,0,,,,,,[],1,F_MIX_00012,2.705124716553288,DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
8,3.0418140589569163,F_MIX_00015,SELECTED,0,,,,,,[],1,F_MIX_00015,3.076643990929705,DRUM_SUPPORTED,34.8299319727887000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
9,3.4133333333333336,F_MIX_00017,SELECTED,0,,,,,,[],1,F_MIX_00017,3.436553287981859,DRUM_SUPPORTED,23.2199546485254000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
10,3.7848526077097504,F_MIX_00019,SELECTED,0,,,,,,[],2,F_MIX_00019,3.7964625850340137,DRUM_SUPPORTED,11.6099773242633000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
11,4.156371882086168,F_MIX_00021,SELECTED,0,,,,,,[],1,F_MIX_00021,4.191201814058957,DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
12,4.504671201814059,F_MIX_00023,SELECTED,1,F_MIX_00023,4.516281179138322,BASS_AND_DRUM_SUPPORTED,11.609977324263000,PRIMARY,[],2,F_MIX_00023,4.516281179138322,BASS_AND_DRUM_SUPPORTED,11.609977324263000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
13,4.876190476190477,F_MIX_00025,SELECTED,0,,,,,,[],1,F_MIX_00025,4.899410430839002,DRUM_SUPPORTED,23.219954648525000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
14,5.224489795918367,F_MIX_00027,SELECTED,1,F_MIX_00026,5.154829931972789,BASS_SUPPORTED,-69.659863945578000,CONTEXT,[],1,F_MIX_00027,5.259319727891157,DRUM_SUPPORTED,34.829931972790000,PRIMARY,[],DISTINCT_PAIR,True,RESOLVED_OBSERVABLE,104.489795918368000
15,5.596009070294785,F_MIX_00029,SELECTED,1,F_MIX_00029,5.630839002267574,BASS_AND_DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],2,F_MIX_00029,5.630839002267574,BASS_AND_DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
16,5.944308390022676,F_MIX_00031,SELECTED,1,F_MIX_00031,5.9675283446712015,BASS_AND_DRUM_SUPPORTED,23.2199546485255000,PRIMARY,[],2,F_MIX_00031,5.9675283446712015,BASS_AND_DRUM_SUPPORTED,23.2199546485255000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
17,6.315827664399093,F_MIX_00034,SELECTED,0,,,,,,[],3,F_MIX_00034,6.339047619047619,DRUM_SUPPORTED,23.219954648526000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
18,6.664126984126984,F_MIX_00036,SELECTED,1,F_MIX_00036,6.6873469387755105,BASS_AND_DRUM_SUPPORTED,23.2199546485265000,PRIMARY,[],2,F_MIX_00036,6.6873469387755105,BASS_AND_DRUM_SUPPORTED,23.2199546485265000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
19,7.012426303854875,F_MIX_00037,SELECTED,0,,,,,,[],1,F_MIX_00038,7.070476190476191,DRUM_SUPPORTED,58.049886621316000,CONTEXT,[],DRUM_ONLY,False,UNRESOLVED,
20,7.383945578231293,F_MIX_00039,SELECTED,1,F_MIX_00039,7.430385487528345,BASS_AND_DRUM_SUPPORTED,46.439909297052000,PRIMARY,[],1,F_MIX_00039,7.430385487528345,BASS_AND_DRUM_SUPPORTED,46.439909297052000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
21,7.732244897959184,F_MIX_00040,SELECTED,0,,,,,,[],1,F_MIX_00040,7.790294784580499,DRUM_SUPPORTED,58.049886621315000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
22,8.103764172335602,F_MIX_00042,SELECTED,1,F_MIX_00041,8.034104308390022,BASS_SUPPORTED,-69.659863945580000,CONTEXT,[],1,F_MIX_00042,8.13859410430839,DRUM_SUPPORTED,34.829931972788000,PRIMARY,[],DISTINCT_PAIR,True,RESOLVED_OBSERVABLE,104.489795918368000
23,8.452063492063493,F_MIX_00044,SELECTED,1,F_MIX_00044,8.510113378684807,BASS_AND_DRUM_SUPPORTED,58.049886621314000,PRIMARY,[],2,F_MIX_00044,8.510113378684807,BASS_AND_DRUM_SUPPORTED,58.049886621314000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
24,8.823582766439909,F_MIX_00045,SELECTED,1,F_MIX_00046,8.870022675736962,BASS_AND_DRUM_SUPPORTED,46.439909297053000,CONTEXT,[],1,F_MIX_00046,8.870022675736962,BASS_AND_DRUM_SUPPORTED,46.439909297053000,CONTEXT,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
25,9.1718820861678,F_MIX_00047,SELECTED,1,F_MIX_00047,9.218321995464853,BASS_AND_DRUM_SUPPORTED,46.439909297053000,PRIMARY,[],1,F_MIX_00047,9.218321995464853,BASS_AND_DRUM_SUPPORTED,46.439909297053000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
26,9.543401360544218,F_MIX_00048,SELECTED,1,F_MIX_00049,9.601451247165533,BASS_AND_DRUM_SUPPORTED,58.049886621315000,CONTEXT,[],2,F_MIX_00048,9.508571428571429,DRUM_SUPPORTED,-34.829931972789000,PRIMARY,[],DISTINCT_PAIR,True,RESOLVED_OBSERVABLE,-92.879818594104000
27,9.914920634920636,F_MIX_00050,SELECTED,0,,,,,,[],2,F_MIX_00050,9.868480725623582,DRUM_SUPPORTED,-46.439909297054000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
